,Provincia,Autos circulando
0,Buenos Aires,6171036
1,Ciudad Autónoma de Bs.As.,1544318
2,Catamarca,12108
3,Córdoba,1632500
4,Corrientes,307291
5,Chaco,266804
6,Chubut,326559
7,Entre Ríos,553109
8,Formosa,110377
9,Jujuy,19106
10,La Pampa,187708
11,La Rioja,104483
12,Mendoza,829747
13,Misiones,296862
14,Neuquén,337698
15,Río Negro,329305
16,Salta,312384
17,San Juan,248561
18,San Luis,197312
19,Santa Cruz,194296
20,Santa Fe,1411421
21,Santiago del Estero,181698
22,Tucumán,400735
23,Tierra del Fuego,103852
24,TOTAL,16360196
