Mes;Total;;
Enero 2018;15367777;;
Febrero 2018;15444629;;
Marzo 2018;15524672;;
Abril 2018;15597001;;
Mayo 2018;15675004;;
Junio 2018;15732545;;
Julio 2018;15807006;;
Agosto 2018;15865376;;
Septiembre 2018;15911770;;
Octubre 2018;15953891;;
Noviembre 2018;15987106;;
Diciembre 2018;16010642;;
Enero 2019;16065648;;
Febrero 2019;16083174;;
Marzo 2019;16122449;;
Abril 2019;16163453;;
Mayo 2019;16193186;;
Junio 2019;16223558;;
Julio 2019;16267613;;
Agosto 2019;16304424;;
Septiembre 2019;16334125;;
Octubre 2019;16360196;;
