modelo,robados,patentados,rob_c_100m
FOX,12,3332,360.1440576230492
MOVE,14,4006,349.4757863205192
GOLF,24,6924,346.6204506065858
BERLINGO,24,7149,335.71128829206884
208,80,32160,248.75621890547265
AMAROK,59,27113,217.60778962121492
SURAN,31,15546,199.40820789913803
HIGH,14,7408,188.98488120950324
POLO,43,24570,175.010175010175
FIESTA,31,18018,172.05017205017205
RENEGADE,28,16478,169.92353440951572
FIORINO,14,8773,159.58053117519663
LOGAN,31,19587,158.2682391382039
SANDERO,48,31156,154.06342277570934
KANGOO,30,20929,143.3417745711692
SPIN,12,8447,142.06227062862555
MOBI,23,16235,141.6692331382815
ARGO,39,28199,138.302776694209
C3,18,13052,137.90989886607417
GOL,47,34193,137.45503465621618
FOCUS,22,16116,136.5103003226607
RANGER,30,22874,131.1532744600857
308,11,8648,127.19703977798335
ECOSPORT,30,24833,120.80699069786172
KA,52,43149,120.5126422396811
HILUX,54,47700,113.20754716981132
2008,16,14154,113.04224954076587
KWID,33,30653,107.65667308256941
ONIX,46,43257,106.34117021522528
CRONOS,23,22338,102.96355985316501
ETIOS,45,44011,102.24716548135693
C4,12,12248,97.97517962116264
COROLLA,20,21163,94.50455984501252
TORO,10,10731,93.18796011555307
PRISMA,27,35057,77.0174287588784
PARTNER,11,14388,76.4525993883792
DUSTER,24,39078,61.41563027790573
