anio;mes;Buenos Aires;CABA;Catamarca;Chaco;Chubut;Córdoba;Corrientes;Entre Ríos;Formosa;Jujuy;La Pampa;La Rioja;Mendoza;Misiones;Neuquén;Río Negro;Salta;San Juan;San Luis;Santa Cruz;Santa Fe;Santiago del Estero;Tierra del Fuego;Tucumán;Total País
2018;Enero;60.930;16.168;850;2.822;3.476;17.469;3.306;6.542;1.036;1.348;2.554;934;8.219;3.308;3.269;3.605;2.495;2.211;2.430;1.430;14.626;1.480;973;3.541;165.022
2018;Febrero;48.790;11.983;530;2.054;2.738;14.720;2.565;5.219;789;964;2.034;585;6.439;2.321;2.732;2.989;1.817;1.630;2.002;1.144;12.326;1.195;737;2.506;130.809
2018;Marzo;56.520;14.498;797;2.444;3.072;16.826;2.730;6.380;810;998;2.387;702;7.685;2.361;3.113;3.269;1.873;1.779;2.161;1.345;14.155;1.192;928;2.645;150.670
2018;Abril;53.265;13.315;657;2.318;2.958;16.042;2.516;5.856;714;994;2.307;666;7.977;2.253;3.021;3.047;1.925;1.717;2.093;1.196;13.168;1.090;880;2.638;142.613
2018;Mayo;57.864;14.372;762;2.377;3.167;17.591;2.795;5.947;792;1.081;2.509;787;9.023;2.688;3.176;3.423;2.011;1.994;2.248;1.229;14.131;1.281;997;3.026;155.271
2018;Junio;46.911;12.602;554;2.262;2.568;14.945;2.377;5.331;687;977;2.198;642;7.358;2.241;2.855;3.016;1.622;1.784;2.039;1.097;12.808;1.093;775;2.493;131.235
2018;Julio;54.565;13.875;829;2.541;3.020;17.989;2.844;6.114;890;1.188;2.485;813;8.183;2.804;3.494;3.303;2.038;2.500;2.465;1.246;15.239;1.216;963;3.140;153.744
2018;Agosto;58.540;14.772;835;2.501;3.124;19.192;2.952;6.827;904;1.073;2.509;883;8.877;2.576;3.635;3.610;1.911;2.585;2.530;1.219;15.510;1.230;1.034;3.289;162.118
2018;Septiembre;51.762;13.362;738;1.970;2.592;15.906;2.542;5.606;764;1.036;2.010;770;7.498;2.058;3.146;3.062;1.650;2.046;2.058;1.110;12.736;1.136;910;2.604;139.072
2018;Octubre;54.355;14.166;713;2.049;2.769;16.231;2.583;5.664;693;1.003;2.092;698;7.360;1.939;3.072;3.062;1.742;2.013;2.179;1.191;13.005;1.104;897;2.744;143.324
2018;Noviembre;48.504;12.302;622;1.673;2.626;14.370;2.239;4.801;630;942;1.877;636;6.347;1.686;2.866;2.828;1.581;1.809;1.915;1.177;11.183;934;970;2.589;127.107
2018;Diciembre;45.617;12.848;583;1.712;2.440;13.595;2.178;4.553;703;903;1.841;647;5.991;1.929;2.859;2.876;1.576;1.834;1.815;1.207;10.744;921;1.064;2.427;122.863
2019;Enero;56.473;13.852;773;15.916;2.584;3.125;2.171;5.861;867;1.306;2.249;794;7.383;2.332;3.430;3.520;1.970;2.252;2.172;1.492;12.784;1.147;1.082;3.081;148.616
2019;Febrero;50.301;12.369;596;14.977;2.460;2.554;1.845;5.409;762;1.082;2.039;668;6.984;1.941;3.265;3.113;1.658;1.996;1.784;1.057;12.573;893;927;2.610;133.863
2019;Marzo;47.243;12.194;580;15.101;2.103;2.411;1.628;5.094;577;847;1.956;581;6.822;1.664;3.080;2.705;1.353;1.807;1.789;1.063;11.438;858;885;2.097;125.876
2019;Abril;50.086;12.740;530;15.216;2.152;2.559;1.660;5.714;555;844;1.992;643;7.277;1.911;3.231;3.037;1.428;1.905;1.819;982;12.060;878;897;2.215;132.331
2019;Mayo;56.633;14.109;667;18.458;2.375;3.047;1.771;6.327;610;895;2.304;641;8.415;2.292;3.707;3.538;1.643;2.240;2.095;1.022;14.285;1.110;1.007;2.824;152.015
2019;Junio;44.666;11.493;512;14.772;1.918;2.401;1.536;5.076;523;766;2.064;578;6.722;2.140;2.809;2.759;1.282;1.842;1.750;812;11.421;846;746;2.167;121.601
